"terms","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9"
"educ",0.372834826540166,-0.308845489926448,0.0113755224040619,-0.501941091796726,0.0846427082559767,-0.0571004942716519,-0.332704278938955,0.626159891680638,-0.0184713736908975
"ses",-0.388977705096611,0.257142811523344,0.0505001084271317,0.524240115728992,-0.0998810264864539,-0.114919695137569,-0.250396154764851,0.647489054469578,-0.00853778469593264
"visit",0.150776166627385,0.0754143516049869,-0.319433459290481,0.235583454732051,0.89782421651409,-0.0452046761408999,0.0595492621318482,0.0483701877611145,0.00493435940556121
"age",0.139974138109381,0.173860350919129,-0.714097951236571,0.0404621711079591,-0.258030517804173,0.555478368084054,-0.251646662782967,-0.000711720028484124,-0.0120096971218411
"mmse",-0.0141182981064365,-0.564300088060645,-0.260342632189711,0.225519168122211,-0.159426137391585,0.0578906372341849,0.667535965282469,0.297220868805588,0.00404647812273335
"cdr",0.0533651385255501,0.549024108079374,0.25994553867983,-0.280597707877225,0.0828981350585668,0.437763751034971,0.506382799938076,0.307324546376206,0.00606750339386705
"e_tiv",0.548151849812615,0.0254680775390982,0.221675784626966,0.364428847630356,-0.109108528879436,0.060100388150683,-0.0371514591555284,-0.00436991005402837,0.707118330505537
"n_wbv",-0.257722358481549,-0.425324061241845,0.386215121171725,0.12984258510357,0.235648973558097,0.686910654812846,-0.23712725243811,-0.054698938013967,-0.00770830956059257
"asf",-0.545367670868623,-0.03414749041789,-0.227364190535022,-0.369904364997296,0.102310393981593,-0.0498656707387963,0.0100050566955068,0.0232774824779718,0.706603420528731
